time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1753965353002000000,2472.1549997558595,9.899999618530273,2,8.76598072052002,11.399999618530273,7.668057441711426,37.953773498535156,173.90000915527344,37.6742704,55.6144048
1753965354002000000,2473.1549997558595,10.699999809265137,1.2000000476837158,8.775980949401855,11.399999618530273,4.109228134155273,36.93838119506836,173.90000915527344,37.6743166,55.6144422
1753965355002000000,2474.1549997558595,25.5,1.7999999523162842,8.785981178283691,11.416000366210938,2.4359352588653564,34.89583969116211,173.90000915527344,37.6743356,55.6144548
1753965356002000000,2475.1549997558595,34.5,1.100000023841858,8.795981407165527,11.432999610900879,1.1076714992523193,33.881980895996094,173.90000915527344,37.6743401,55.614459
1753965356875000000,2476.028,45,1.5,8.217778205871582,14.359999656677246,1.103886365890503,33.90806198120117,159.60000610351562,37.6743451,55.6144634
1753965357002000000,2476.1549997558595,0,0.8999999761581421,8.219048500061035,13.96500015258789,0.00876033864915371,0,159.60000610351562,37.6743369,55.6144579
1753965358002000000,2477.1549997558595,0,0.699999988079071,8.229047775268555,12.607999801635742,0.000033427906600991264,0,159.60000610351562,37.6743308,55.6144539
1753965359002000000,2478.1549997558595,0,0.699999988079071,8.23904800415039,11.25100040435791,0.000011327193533361424,0,159.60000610351562,37.6743343,55.6144563
1753965360002000000,2479.1549997558595,0,1.100000023841858,8.249048233032227,9.894000053405762,0.000004462402557692258,0,159.60000610351562,37.6743349,55.6144566
1753965361002000000,2480.1549997558595,6,0.699999988079071,8.259048461914062,9.92199993133545,4.120012283325195,33.05296325683594,159.60000610351562,37.6743613,55.6144784
1753965362002000000,2481.1549997558595,4.400000095367432,0.699999988079071,8.269047737121582,6.7829999923706055,5.816560745239258,28.038480758666992,159.60000610351562,37.6744158,55.6145278
1753965362542000000,2481.695000244141,45,1.5,6.656400203704834,8.600000381469727,5.81553840637207,28.040544509887695,159.60000610351562,37.6744373,55.6145504
1753965363002000000,2482.1549997558595,3,0.699999988079071,6.6610002517700195,9.027999877929688,7.4993062019348145,23.0374755859375,159.60000610351562,37.6744795,55.6145854
1753965364002000000,2483.1549997558595,4.400000095367432,1.100000023841858,6.671000003814697,10.413999557495117,8.940433502197266,16.087093353271484,159.60000610351562,37.674543,55.6146607
1753965365002000000,2484.1549997558595,4.400000095367432,1.2000000476837158,6.681000232696533,11.800000190734863,10.189964294433594,9.085817337036133,159.60000610351562,37.6745878,55.614751
1753965366002000000,2485.1549997558595,4.199999809265137,1.399999976158142,6.690999984741211,13.170999526977539,11.096819877624512,0.09610524028539658,159.60000610351562,37.6746123,55.6148516
1753965367002000000,2486.1549997558595,2.700000047683716,1.2000000476837158,6.701000213623047,13.128000259399414,12.821147918701172,357.01025390625,159.60000610351562,37.674614,55.6149618
1753965368002000000,2487.1549997558595,2.4000000953674316,1.100000023841858,6.710999965667725,11.515999794006348,13.296491622924805,356.9985046386719,159.60000610351562,37.6746033,55.6150858
1753965369002000000,2488.1549997558595,2.4000000953674316,1.2000000476837158,6.7210001945495605,11.482999801635742,12.668222427368164,357.0029602050781,159.60000610351562,37.6745869,55.6152091
1753965370001000000,2489.154,2,0.8999999761581421,6.730990409851074,11.449999809265137,12.26148509979248,359.989990234375,159.60000610351562,37.6745756,55.6153211
1753965371001000000,2490.154,4.199999809265137,1.5,6.740990161895752,11.416000366210938,11.87114143371582,0.9853695631027222,159.60000610351562,37.6745772,55.6154345
1753965372001000000,2491.154,4.300000190734863,1.399999976158142,6.750990390777588,11.399999618530273,11.216440200805664,0.012852776795625687,159.60000610351562,37.6745831,55.6155394
1753965373001000000,2492.154,4.900000095367432,1.399999976158142,6.760990142822266,11.399999618530273,10.364843368530273,0.00015383238496724516,159.60000610351562,37.6745823,55.6156341
1753965374001000000,2493.154,5.300000190734863,1.399999976158142,6.770990371704102,11.399999618530273,9.213473320007324,0,159.60000610351562,37.6745819,55.6157178
1753965375001000000,2494.154,5.800000190734863,1.5,6.780990123748779,11.399999618530273,8.17074203491211,359.9999084472656,159.60000610351562,37.6745798,55.6157882
1753965376001000000,2495.154,5.699999809265137,1.2999999523162842,6.790990352630615,11.399999618530273,7.2903313636779785,357.0375671386719,159.60000610351562,37.6745818,55.6158496
1753965377001000000,2496.154,5.099999904632568,1.100000023841858,6.800990104675293,11.399999618530273,6.837619304656982,354.0269470214844,159.60000610351562,37.6745734,55.615907
1753965378001000000,2497.154,4.599999904632568,1,6.810990333557129,11.399999618530273,6.494205951690674,347.0501403808594,159.60000610351562,37.6745578,55.6159623
1753965379001000000,2498.154,6.800000190734863,1.2000000476837158,6.820990085601807,11.399999618530273,6.0715436935424805,339.12249755859375,159.60000610351562,37.67452,55.6160335
1753965380001000000,2499.154,9.399999618530273,1.2999999523162842,6.830990314483643,11.399999618530273,5.190694332122803,331.20672607421875,159.60000610351562,37.6744792,55.6160857
1753965381001000000,2500.154,10,1.2999999523162842,6.84099006652832,11.416000366210938,4.800443649291992,324.160888671875,159.60000610351562,37.6744417,55.6161207
1753965382001000000,2501.154,10,1.100000023841858,6.850990295410156,11.449999809265137,4.129101276397705,316.1405334472656,159.60000610351562,37.6744065,55.6161474
1753965382910000000,2502.0630002441408,45,1.5,20.729272842407227,14.512999534606934,4.121602535247803,316.13592529296875,156.50001525878906,37.6743733,55.6161666
